2022-04-10 12:27:51.6911 INFO: Application started
2022-04-10 13:22:30.1004 INFO: Application started
2022-04-10 13:32:38.6798 INFO: Application started
2022-04-10 13:35:43.9276 INFO: Application started
2022-04-10 13:39:08.9071 INFO: Application started
2022-04-10 13:47:23.7634 INFO: Application started
2022-04-10 14:46:34.3639 INFO: Application started
2022-04-10 14:46:51.4000 INFO: Движение по треку
2022-04-10 14:46:51.4909 INFO: Движение по треку
2022-04-10 14:46:51.5919 INFO: Движение по треку
2022-04-10 14:46:51.6899 INFO: Движение по треку
2022-04-10 14:46:51.7908 INFO: Движение по треку
2022-04-10 14:46:51.8919 INFO: Движение по треку
2022-04-10 14:46:51.9908 INFO: Движение по треку
2022-04-10 14:46:52.0920 INFO: Движение по треку
2022-04-10 14:46:52.1919 INFO: Движение по треку
2022-04-10 14:46:52.2920 INFO: Движение по треку
2022-04-10 14:46:52.3918 INFO: Движение по треку
2022-04-10 14:46:52.4909 INFO: Движение по треку
2022-04-10 14:46:52.5908 INFO: Движение по треку
2022-04-10 14:46:52.6910 INFO: Движение по треку
2022-04-10 14:46:52.7918 INFO: Движение по треку
2022-04-10 14:46:52.9079 INFO: Движение по треку
2022-04-10 14:46:52.9918 INFO: Движение по треку
2022-04-10 14:46:53.0919 INFO: Движение по треку
2022-04-10 14:46:53.1920 INFO: Движение по треку
2022-04-10 14:46:53.2899 INFO: Движение по треку
2022-04-10 14:46:53.3909 INFO: Движение по треку
2022-04-10 14:46:53.4920 INFO: Движение по треку
2022-04-10 14:46:53.5899 INFO: Движение по треку
2022-04-10 14:46:53.6919 INFO: Движение по треку
2022-04-10 14:46:53.7899 INFO: Движение по треку
2022-04-10 14:46:53.8918 INFO: Движение по треку
2022-04-10 14:46:53.9919 INFO: Движение по треку
2022-04-10 14:46:54.0919 INFO: Движение по треку
2022-04-10 14:46:54.1899 INFO: Движение по треку
2022-04-10 14:46:54.2910 INFO: Движение по треку
2022-04-10 14:46:54.3899 INFO: Движение по треку
2022-04-10 14:46:54.4920 INFO: Движение по треку
2022-04-10 14:46:54.5921 INFO: Движение по треку
2022-04-10 14:46:54.6898 INFO: Движение по треку
2022-04-10 14:46:54.7920 INFO: Движение по треку
2022-04-10 14:46:54.8918 INFO: Движение по треку
2022-04-10 14:46:54.9908 INFO: Движение по треку
2022-04-10 14:46:55.0908 INFO: Движение по треку
2022-04-10 14:46:55.1909 INFO: Движение по треку
2022-04-10 14:46:55.2909 INFO: Движение по треку
2022-04-10 14:46:55.3919 INFO: Движение по треку
2022-04-10 14:46:55.4909 INFO: Движение по треку
2022-04-10 14:46:55.5909 INFO: Движение по треку
2022-04-10 14:46:55.6919 INFO: Движение по треку
2022-04-10 14:46:55.7909 INFO: Движение по треку
2022-04-10 14:46:55.8909 INFO: Движение по треку
2022-04-10 14:46:55.9909 INFO: Движение по треку
2022-04-10 14:46:56.0899 INFO: Движение по треку
2022-04-10 14:46:56.1909 INFO: Движение по треку
2022-04-10 14:46:56.2919 INFO: Движение по треку
2022-04-10 14:46:56.3909 INFO: Движение по треку
2022-04-10 14:46:56.4919 INFO: Движение по треку
2022-04-10 14:46:56.5909 INFO: Движение по треку
2022-04-10 14:46:56.6899 INFO: Движение по треку
2022-04-10 14:46:56.7908 INFO: Движение по треку
2022-04-10 14:46:56.8909 INFO: Движение по треку
2022-04-10 14:46:56.9919 INFO: Движение по треку
2022-04-10 14:46:57.0909 INFO: Движение по треку
2022-04-10 14:46:57.1909 INFO: Движение по треку
2022-04-10 14:46:57.2909 INFO: Движение по треку
2022-04-10 14:46:57.3909 INFO: Движение по треку
2022-04-10 14:46:57.4899 INFO: Движение по треку
2022-04-10 14:46:57.5919 INFO: Движение по треку
