2022-04-15 13:11:34.0434 INFO: Application started
2022-04-15 13:13:10.9169 INFO: Движение по треку
2022-04-15 13:13:11.0049 INFO: Движение по треку
2022-04-15 13:13:11.1068 INFO: Движение по треку
2022-04-15 13:13:11.2060 INFO: Движение по треку
2022-04-15 13:13:11.3060 INFO: Движение по треку
2022-04-15 13:13:11.4060 INFO: Движение по треку
2022-04-15 13:13:11.5050 INFO: Движение по треку
2022-04-15 13:13:11.6060 INFO: Движение по треку
2022-04-15 13:13:11.7050 INFO: Движение по треку
2022-04-15 13:13:11.8060 INFO: Движение по треку
2022-04-15 13:13:11.9060 INFO: Движение по треку
2022-04-15 13:13:12.0070 INFO: Движение по треку
2022-04-15 13:13:12.1060 INFO: Движение по треку
2022-04-15 13:13:12.2050 INFO: Движение по треку
2022-04-15 13:13:12.3080 INFO: Движение по треку
2022-04-15 13:13:12.4070 INFO: Движение по треку
2022-04-15 13:13:12.5060 INFO: Движение по треку
2022-04-15 13:13:12.6080 INFO: Движение по треку
2022-04-15 13:13:12.7060 INFO: Движение по треку
2022-04-15 13:13:12.8050 INFO: Движение по треку
2022-04-15 13:13:12.9050 INFO: Движение по треку
2022-04-15 13:13:13.0060 INFO: Движение по треку
2022-04-15 13:13:13.1050 INFO: Движение по треку
2022-04-15 13:13:13.2070 INFO: Движение по треку
2022-04-15 13:13:13.3050 INFO: Движение по треку
2022-04-15 13:13:13.4050 INFO: Движение по треку
2022-04-15 13:13:13.5070 INFO: Движение по треку
2022-04-15 13:13:13.6080 INFO: Движение по треку
2022-04-15 13:13:13.7060 INFO: Движение по треку
2022-04-15 13:13:13.8050 INFO: Движение по треку
2022-04-15 13:13:13.9068 INFO: Движение по треку
2022-04-15 13:13:14.0060 INFO: Движение по треку
2022-04-15 13:13:14.1060 INFO: Движение по треку
2022-04-15 13:13:14.2049 INFO: Движение по треку
2022-04-15 13:13:14.3070 INFO: Движение по треку
2022-04-15 13:13:14.4060 INFO: Движение по треку
2022-04-15 13:13:14.5048 INFO: Движение по треку
2022-04-15 13:13:14.6068 INFO: Движение по треку
2022-04-15 13:13:14.7060 INFO: Движение по треку
2022-04-15 13:13:14.8060 INFO: Движение по треку
2022-04-15 13:13:14.9060 INFO: Движение по треку
2022-04-15 13:13:15.0050 INFO: Движение по треку
2022-04-15 13:13:15.1070 INFO: Движение по треку
2022-04-15 13:13:15.2060 INFO: Движение по треку
2022-04-15 13:13:15.3098 INFO: Остановка движения по треку
2022-04-15 13:13:20.1758 INFO: Движение к началу трека
2022-04-15 13:13:20.2278 INFO: Движение к началу трека
2022-04-15 13:13:20.3148 INFO: Движение к началу трека
2022-04-15 13:13:20.4928 INFO: Движение к началу трека
2022-04-15 13:13:20.5078 INFO: Движение к началу трека
2022-04-15 13:13:20.6098 INFO: Движение к началу трека
2022-04-15 13:13:20.7148 INFO: Движение к началу трека
2022-04-15 13:13:20.8139 INFO: Движение к началу трека
2022-04-15 13:13:20.9058 INFO: Движение к началу трека
2022-04-15 13:13:21.0048 INFO: Движение к началу трека
2022-04-15 13:13:21.1478 INFO: Движение к началу трека
2022-04-15 13:13:21.2129 INFO: Движение к началу трека
2022-04-15 13:13:21.3088 INFO: Движение к началу трека
2022-04-15 13:13:21.4138 INFO: Движение к началу трека
2022-04-15 13:13:21.5088 INFO: Движение к началу трека
2022-04-15 13:13:21.6299 INFO: Движение к началу трека
2022-04-15 13:13:21.7058 INFO: Движение к началу трека
2022-04-15 13:13:21.8198 INFO: Движение к началу трека
2022-04-15 13:13:21.9138 INFO: Движение к началу трека
2022-04-15 13:13:22.0048 INFO: Движение к началу трека
2022-04-15 13:13:22.1048 INFO: Движение к началу трека
2022-04-15 13:13:22.2049 INFO: Движение к началу трека
2022-04-15 13:13:22.3048 INFO: Движение к началу трека
2022-04-15 13:13:22.4038 INFO: Движение к началу трека
2022-04-15 13:13:22.5050 INFO: Движение к началу трека
2022-04-15 13:13:22.6040 INFO: Движение к началу трека
2022-04-15 13:13:22.7048 INFO: Движение к началу трека
2022-04-15 13:13:22.8048 INFO: Движение к началу трека
2022-04-15 13:13:22.9048 INFO: Движение к началу трека
2022-04-15 13:13:23.0048 INFO: Движение к началу трека
2022-04-15 13:13:23.1048 INFO: Движение к началу трека
2022-04-15 13:13:23.2178 INFO: Движение к началу трека
2022-04-15 13:13:23.3198 INFO: Движение к началу трека
2022-04-15 13:13:23.4058 INFO: Движение к началу трека
2022-04-15 13:13:23.5228 INFO: Движение к началу трека
2022-04-15 13:13:23.6338 INFO: Движение к началу трека
2022-04-15 13:13:23.7148 INFO: Движение к началу трека
2022-04-15 13:13:23.8058 INFO: Движение к началу трека
2022-04-15 13:13:23.9058 INFO: Движение к началу трека
2022-04-15 13:13:24.0078 INFO: Движение к началу трека
2022-04-15 13:13:24.1058 INFO: Движение к началу трека
2022-04-15 13:13:24.2058 INFO: Движение к началу трека
2022-04-15 13:13:24.3158 INFO: Движение к началу трека
2022-04-15 13:13:24.4088 INFO: Движение к началу трека
2022-04-15 13:13:24.5608 INFO: Движение к началу трека
2022-04-15 13:13:24.6058 INFO: Движение к началу трека
2022-04-15 13:13:24.7068 INFO: Движение к началу трека
2022-04-15 13:13:24.8138 INFO: Движение к началу трека
2022-04-15 13:13:24.9158 INFO: Движение к началу трека
2022-04-15 13:13:25.0048 INFO: Движение к началу трека
2022-04-15 13:13:25.1048 INFO: Движение к началу трека
2022-04-15 13:13:25.2058 INFO: Движение к началу трека
2022-04-15 13:13:25.3038 INFO: Движение к началу трека
2022-04-15 13:13:25.4039 INFO: Движение к началу трека
2022-04-15 13:13:25.5050 INFO: Движение к началу трека
2022-04-15 13:13:25.6050 INFO: Движение к началу трека
2022-04-15 13:13:25.7048 INFO: Движение к началу трека
2022-04-15 13:13:25.8058 INFO: Движение к началу трека
2022-04-15 13:13:25.9058 INFO: Движение к началу трека
2022-04-15 13:13:26.0058 INFO: Движение к началу трека
2022-04-15 13:13:26.1058 INFO: Движение к началу трека
2022-04-15 13:13:26.2058 INFO: Движение к началу трека
2022-04-15 13:13:26.3398 INFO: Движение к началу трека
2022-04-15 13:13:26.4138 INFO: Движение к началу трека
2022-04-15 13:13:26.5068 INFO: Движение к началу трека
2022-04-15 13:13:26.6138 INFO: Движение к началу трека
2022-04-15 13:13:26.7249 INFO: Движение к началу трека
2022-04-15 13:13:26.8169 INFO: Движение к началу трека
2022-04-15 13:13:26.9098 INFO: Движение к началу трека
2022-04-15 13:13:27.0169 INFO: Движение к началу трека
2022-04-15 13:13:27.1148 INFO: Движение к началу трека
2022-04-15 13:13:27.2048 INFO: Движение к началу трека
2022-04-15 13:13:27.3109 INFO: Движение к началу трека
2022-04-15 13:13:27.4078 INFO: Движение к началу трека
2022-04-15 13:13:27.5049 INFO: Движение к началу трека
2022-04-15 13:13:27.6149 INFO: Движение к началу трека
2022-04-15 13:13:27.7198 INFO: Движение к началу трека
2022-04-15 13:13:27.8108 INFO: Движение к началу трека
2022-04-15 13:13:27.9120 INFO: Движение к началу трека
2022-04-15 13:13:28.0048 INFO: Движение к началу трека
2022-04-15 13:13:28.1068 INFO: Движение к началу трека
2022-04-15 13:13:28.2058 INFO: Движение к началу трека
2022-04-15 13:13:28.3058 INFO: Движение к началу трека
2022-04-15 13:13:28.4058 INFO: Движение к началу трека
2022-04-15 13:13:28.5050 INFO: Движение к началу трека
2022-04-15 13:13:28.6060 INFO: Движение к началу трека
2022-04-15 13:13:28.7050 INFO: Движение к началу трека
2022-04-15 13:13:28.8048 INFO: Движение к началу трека
2022-04-15 13:13:28.9048 INFO: Движение к началу трека
2022-04-15 13:13:29.0058 INFO: Движение к началу трека
2022-04-15 13:13:29.1058 INFO: Движение к началу трека
2022-04-15 13:13:29.2048 INFO: Движение к началу трека
2022-04-15 13:13:29.3218 INFO: Движение к началу трека
2022-04-15 13:13:29.4208 INFO: Движение к началу трека
2022-04-15 13:13:29.5058 INFO: Движение к началу трека
2022-04-15 13:13:29.6098 INFO: Движение к началу трека
2022-04-15 13:13:29.7148 INFO: Движение к началу трека
2022-04-15 13:13:29.8078 INFO: Движение к началу трека
2022-04-15 13:13:29.9111 INFO: Движение к началу трека
2022-04-15 13:13:30.0198 INFO: Движение к началу трека
2022-04-15 13:13:30.1158 INFO: Остановка движения по треку
2022-04-15 13:13:34.9468 INFO: Движение к началу трека
2022-04-15 13:13:35.0058 INFO: Движение к началу трека
2022-04-15 13:13:35.1098 INFO: Движение к началу трека
2022-04-15 13:13:35.2108 INFO: Движение к началу трека
2022-04-15 13:13:35.3268 INFO: Движение к началу трека
2022-04-15 13:13:35.4128 INFO: Движение к началу трека
2022-04-15 13:13:35.5098 INFO: Движение к началу трека
2022-04-15 13:13:35.6108 INFO: Движение к началу трека
2022-04-15 13:13:35.7058 INFO: Движение к началу трека
2022-04-15 13:13:35.8058 INFO: Движение к началу трека
2022-04-15 13:13:35.9058 INFO: Движение к началу трека
2022-04-15 13:13:36.0049 INFO: Движение к началу трека
2022-04-15 13:13:36.1048 INFO: Движение к началу трека
2022-04-15 13:13:36.2058 INFO: Движение к началу трека
2022-04-15 13:13:36.3738 INFO: Движение к началу трека
2022-04-15 13:13:36.4158 INFO: Движение к началу трека
2022-04-15 13:13:36.5081 INFO: Движение к началу трека
2022-04-15 13:13:36.6188 INFO: Движение к началу трека
2022-04-15 13:13:36.7098 INFO: Движение к началу трека
2022-04-15 13:13:36.8258 INFO: Движение к началу трека
2022-04-15 13:13:36.9288 INFO: Движение к началу трека
2022-04-15 13:13:37.0058 INFO: Движение к началу трека
2022-04-15 13:13:37.1088 INFO: Движение к началу трека
2022-04-15 13:13:37.2089 INFO: Движение к началу трека
2022-04-15 13:13:37.3068 INFO: Движение к началу трека
2022-04-15 13:13:37.4048 INFO: Движение к началу трека
2022-04-15 13:13:37.5049 INFO: Движение к началу трека
2022-04-15 13:13:37.6048 INFO: Движение к началу трека
2022-04-15 13:13:37.7178 INFO: Движение к началу трека
2022-04-15 13:13:37.8108 INFO: Движение к началу трека
2022-04-15 13:13:37.9058 INFO: Движение к началу трека
2022-04-15 13:13:38.0158 INFO: Движение к началу трека
2022-04-15 13:13:38.1108 INFO: Движение к началу трека
2022-04-15 13:13:38.2048 INFO: Движение к началу трека
2022-04-15 13:13:38.3148 INFO: Движение к началу трека
2022-04-15 13:13:38.4058 INFO: Движение к началу трека
